_id,age_certification,description,genres[0],genres[1],genres[2],genres[3],genres[4],genres[5],genres[6],genres[7],genres[8],id,production_countries[0],production_countries[1],production_countries[2],production_countries[3],production_countries[4],production_countries[5],production_countries[6],release_year,runtime,title,type,imdb_score,imdbScore,ageCertification,productionCountries[0],productionCountries[1],releaseYear,__v
66f562d6595d90b3b3fedd56,,"After the 1978 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.",documentation,,,,,,,,,tm259855,FR,LB,CA,,,,,1979,74,We Are All for the Fatherland,MOVIE,6.2,,,,,,
66f562d6595d90b3b3fedd57,,"At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.",documentation,,,,,,,,,tm259684,FR,LB,CA,,,,,1980,93,Whispers,MOVIE,7.8,,,,,,
66f562d6595d90b3b3fedd58,,"Raja Kumar Bahadur alias Gyan Shankar Rai has been a total abstainer all his life, never touching a drop of alcohol, and keeping away from women and all known vices all his life. Then one day he sees a young woman named Saudamani, and instantly falls in love with her. He finds out about her background, and virtually buys her, and brings her to his palatial home. This is when he takes to drinking, and wooing her, and renaming her Madhuri, but refrains from marrying her. Years later, he sees another beautiful woman, about half his age, named Sumita, meets with her parents, pays off their debts, and marries her in the bargain.",drama,,,,,,,,,tm344089,IN,,,,,,,1971,153,Lal Patthar,MOVIE,6.2,,,,,,
66f562d6595d90b3b3fedd59,,"An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",romance,crime,drama,,,,,,,tm358653,IN,,,,,,,1959,142,Ujala,MOVIE,6.7,,,,,,
66f562d6595d90b3b3fedd5a,,"The movie is based on the story of Ali Baba and the Forty Thieves, from the One Thousand and One Nights or Arabian Tales. The role of Ali Baba is played by Dharmendra and Hema Malini play Morjina.",drama,action,romance,family,fantasy,,,,,tm100027,IN,SU,,,,,,1979,138,Alibaba Aur 40 Chor,MOVIE,6.2,,,,,,
66f562d6595d90b3b3fedd5b,,"Sita devi is a very strict aunt for a number of young ladies, and does not allow them to fraternize with males. Along comes Pritam disguised as an elderly Professor Khanna to break every possible rule of the aunt",romance,comedy,drama,,,,,,,tm10204,IN,,,,,,,1962,163,Professor,MOVIE,6.8,,,,,,
66f562d6595d90b3b3fedd5c,,"A small-time businessman (B.S. Sood) reaches the ""naughty forties"". Now his wife is not good enough anymore, so he decides he needs a modern up to date mistress, resulting in hilarious situations.",romance,,,,,,,,,tm403346,IN,,,,,,,1976,135,Chadi Jawani Budhe Nu,MOVIE,4.6,,,,,,
66f562d6595d90b3b3fedd5d,,"Maharaj Brajbhan lives a wealthy lifestyle in Bharatpur, India along with his wife, Badi Rani, but have been unable to conceive for Bharatpur, and have no choice but to leave it's reigns with Brajban's widowed cousin, Vikram, and his son, Kanchan. When Vikram finds out that Badi Rani is pregnant, he plots to first sully her character by having her abducted, then shunned by the Maharaj, and then decides to have her killed. But her killer has a change of heart and lets her live. She gives birth to a son, names him Bhola, and starts living a simple lifestyle in a Mandir with the help of it's Poojary. Years later Vikram finds out she is alive and kills her, as well the Poojary and the Poojary's son. Bhola witnesses this, manages to escape, starts to live with a poor widow, grows up uneducated, and makes a living through crime.",drama,romance,action,,,,,,,tm16812,IN,,,,,,,1978,141,Bandie,MOVIE,4.2,,,,,,
66f562d6595d90b3b3fedd5e,,"As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of Dirty Harry.",drama,crime,thriller,,,,,,,tm336403,IN,,,,,,,1973,131,Khoon Khoon,MOVIE,5.1,,,,,,
66f562d6595d90b3b3fedd5f,PG,"A heart-pounding combination of action, music and incredible aerial photography helped make Top Gun the blockbuster hit. of 1986. Top Gun takes a look at the danger and excitement that awaits every pilot at the Navy's prestigious fighter weapons school. Tom Cruise is superb as Lt. Pete ""Maverick"" Mitchell, a daring young flyer who's out to become the best. And Kelly McGillis sizzles as the civilian instructor who teaches Maverick a few things you can't learn in a classroom.",drama,action,,,,,,,,tm119776,US,,,,,,,1986,110,Top Gun,MOVIE,6.9,,,,,,
